Name,Price,Category
Ail,900 DA,Fruits et Légumes
Ail Rouge en Vrac,60 DA – 600 DA,Fruits et Légumes
Ananas,"120 DA – 1,200 DA",Fruits et Légumes
Anchois Vrac,"250 DA – 2,500 DA",Fruits et Légumes
Artichaut 1kg,250 DA,Fruits et Légumes
Aubergines 1kg,150 DA,Fruits et Légumes
Avocat,"200 DA – 2,000 DA",Fruits et Légumes
Banane,220 DA,Fruits et Légumes
Betterave,60 DA – 120 DA,Fruits et Légumes
Brocoli 1kg,300 DA,Fruits et Légumes
Câpre,47 DA – 470 DA,Fruits et Légumes
Carde,80 DA,Fruits et Légumes
Carotte,50 DA – 100 DA,Fruits et Légumes
Cèlerie,45 DA,Fruits et Légumes
Champignon Vrac,"145 DA – 1,450 DA",Fruits et Légumes
Cherimoya,"350 DA – 3,500 DA",Fruits et Légumes
Chou Fleur,7 DA – 130 DA,Fruits et Légumes
Chou Rouge,8 DA – 150 DA,Fruits et Légumes
Chou Vert,50 DA – 100 DA,Fruits et Légumes
Citron Jaune,125 DA – 250 DA,Fruits et Légumes
Citron Vert,400 DA,Fruits et Légumes
Coing,35 DA – 350 DA,Fruits et Légumes
Concombre,12 DA – 120 DA,Fruits et Légumes
Coriandre,25 DA,Fruits et Légumes
Cornichons,82 DA – 820 DA,Fruits et Légumes
Courgette,90 DA – 180 DA,Fruits et Légumes
Dattes Branche,"100 DA – 1,000 DA",Fruits et Légumes
Echalotte,50 DA,Fruits et Légumes
Epinards,50 DA,Fruits et Légumes
Fenouil,80 DA – 160 DA,Fruits et Légumes
Fève,90 DA – 180 DA,Fruits et Légumes
Flion,30 DA,Fruits et Légumes
Fraise,"100 DA – 1,000 DA",Fruits et Légumes
Gingembre Vrac,"160 DA – 1,600 DA",Fruits et Légumes
Grenade,25 DA – 250 DA,Fruits et Légumes
Haricots Verts,22 DA – 220 DA,Fruits et Légumes
Kaki,60 DA – 600 DA,Fruits et Légumes
Kiwi,"150 DA – 1,500 DA",Fruits et Légumes
Laurier,80 DA,Fruits et Légumes
Mais Doux Vrac,60 DA – 600 DA,Fruits et Légumes
Mandarine,170 DA,Fruits et Légumes
Mangue,"250 DA – 2,500 DA",Fruits et Légumes
Melon Cantaloup (Bouchebika),80 DA,Fruits et Légumes
Melon Jaune 1kg,120 DA,Fruits et Légumes
Menthe,25 DA,Fruits et Légumes
Navet,160 DA,Fruits et Légumes
Navet Blanc,50 DA – 100 DA,Fruits et Légumes
Nectarine,380 DA,Fruits et Légumes
Oignons De Saison,30 DA – 60 DA,Fruits et Légumes
Olive Noyau Vrac,38 DA – 380 DA,Fruits et Légumes
Olive Sèche,55 DA – 550 DA,Fruits et Légumes
Olive Variante,47 DA – 470 DA,Fruits et Légumes
Olive Violet,38 DA – 380 DA,Fruits et Légumes
Olives Coupées,48 DA – 480 DA,Fruits et Légumes
Olives Denoyautees,48 DA – 480 DA,Fruits et Légumes
Olives Noires,37 DA – 370 DA,Fruits et Légumes
Orange Moyenne,65 DA – 130 DA,Fruits et Légumes
Pamplemousse,125 DA – 250 DA,Fruits et Légumes
Pastèque,70 DA,Fruits et Légumes
Petit Oignon,65 DA – 650 DA,Fruits et Légumes
Petit Piment,20 DA – 200 DA,Fruits et Légumes
Petit Pois,200 DA,Fruits et Légumes
Piment Rouge,160 DA,Fruits et Légumes
Piment Sucette,48 DA – 480 DA,Fruits et Légumes
Piment Vert,130 DA,Fruits et Légumes
Poire Moyenne,225 DA – 450 DA,Fruits et Légumes
Poire Rouge,450 DA – 900 DA,Fruits et Légumes
Poireaux,12 DA – 120 DA,Fruits et Légumes
Poivron Rouge,160 DA,Fruits et Légumes
Poivron Vert,90 DA – 180 DA,Fruits et Légumes
Pomme de Terre 1kg,75 DA,Fruits et Légumes
Pomme de Terre Douce 1kg,200 DA,Fruits et Légumes
Pomme Jaune Super,375 DA – 750 DA,Fruits et Légumes
Pomme Light Super,"650 DA – 1,300 DA",Fruits et Légumes
Pomme Rouge Moyen,38 DA – 380 DA,Fruits et Légumes
Prune,45 DA – 450 DA,Fruits et Légumes
Radis,50 DA,Fruits et Légumes
Raisin Blanc,300 DA,Fruits et Légumes
Raisin Noir,300 DA,Fruits et Légumes
Raisin Rouge,500 DA,Fruits et Légumes
Salade 1kg,120 DA,Fruits et Légumes
Salade Frisée 1kg,150 DA,Fruits et Légumes
Thym,80 DA,Fruits et Légumes
Tomate,110 DA – 220 DA,Fruits et Légumes
Pomme Jaune Super,375 DA – 750 DA,Fruits et Légumes
Pomme Light Super,"650 DA – 1,300 DA",Fruits et Légumes
Pomme Rouge Moyen,38 DA – 380 DA,Fruits et Légumes
Prune,45 DA – 450 DA,Fruits et Légumes
Radis,50 DA,Fruits et Légumes
Raisin Blanc,300 DA,Fruits et Légumes
Raisin Noir,300 DA,Fruits et Légumes
Raisin Rouge,500 DA,Fruits et Légumes
Salade 1kg,120 DA,Fruits et Légumes
Salade Frisée 1kg,150 DA,Fruits et Légumes
Thym,80 DA,Fruits et Légumes
Tomate,110 DA – 220 DA,Fruits et Légumes
Abricot Secs,"165 DA – 1,650 DA",Fruits Secs
Amande,"170 DA – 1,700 DA",Fruits Secs
Amandes Décortiquées Bio,"220 DA – 2,200 DA",Fruits Secs
Ananas Séchée,"175 DA – 1,750 DA",Fruits Secs
Bananes Séchées,"175 DA – 1,750 DA",Fruits Secs
Cacahuète,"1,200 DA",Fruits Secs
Cacahuètes Grillées Salées Avec Peau,"1,200 DA",Fruits Secs
Cacahuètes Nature Grillées Sans Peau,"1,200 DA",Fruits Secs
Cerises Séchées,"175 DA – 1,750 DA",Fruits Secs
Cerneau de Noix AOP du Périgord Bio,"215 DA – 2,150 DA",Fruits Secs
Figues Secs,"1,200 DA",Fruits Secs
Fraises Séchées,"175 DA – 1,750 DA",Fruits Secs
Glands,20 DA – 200 DA,Fruits Secs
Kiwi Séché,"175 DA – 1,750 DA",Fruits Secs
Mangue Séché,"175 DA – 1,750 DA",Fruits Secs
Marron,60 DA – 600 DA,Fruits Secs
Mélange Apéritif Bio,"1,200 DA",Fruits Secs
Mélange Etudiant Bio,"1,200 DA",Fruits Secs
Noisettes Décortiquées Bio,"220 DA – 2,200 DA",Fruits Secs
Noix de Cajou Bio,"1,200 DA",Fruits Secs
Noix de Pécan,50 DA – 500 DA,Fruits Secs
Pignons de Pin Bio,"1,200 DA",Fruits Secs
Pistache,"1,200 DA",Fruits Secs
Pruneau Séché,"55 DA – 1,100 DA",Fruits Secs
Raisins Séché Blanc,"100 DA – 1,000 DA",Fruits Secs
Raisins Séché Noir,"130 DA – 1,300 DA",Fruits Secs
Farine Agrodiv 5kg,250 DA,Semoulerie et Farine
Farine de Blé GME 1kg,42 DA,Semoulerie et Farine
Farine de Mais Réginat 500 g,175 DA,Semoulerie et Farine
Farine GMC 1kg,48 DA,Semoulerie et Farine
Farine LaBelle 1Kg,65 DA,Semoulerie et Farine
Farine Mama T150 1Kg,85 DA,Semoulerie et Farine
Farine Mama T150 5kg,375 DA,Semoulerie et Farine
Farine Mama T45 1kg,95 DA,Semoulerie et Farine
Farine Mama T55 10kg,440 DA,Semoulerie et Farine
Farine Safina 1kg,80 DA,Semoulerie et Farine
Farine Sim 1kg,90 DA,Semoulerie et Farine
Nounours Amidon De Mais 400g,120 DA,Semoulerie et Farine
Semoule de Mais Réginat 800g,150 DA,Semoulerie et Farine
